doctorid,doctorName,speciality,doctorContactinfo,branchName,experienceinYears,rating,fee
1,Dhruv Chacko,"Pediatric Neurology, Neuro-oncology",6482045131,Waitakere occaecati Hospital,26,4.37,169
2,Kaira Grover,"Family Medicine, Internal Medicine",6440349375,Hutt omnis Hospital,19,3.82,173
3,Arnav Shetty,"Cosmetic Dermatology, Medical Dermatology",6460188618,Auckland City minus Hospital,17,3.9,235
4,Zain Dhar,"Neonatology, Pediatric Oncology",6400814534,Auckland City laboriosam Hospital,2,1.21,224
5,Anika Sahota,"Joint Replacement, Sports Medicine",6421697721,Hutt voluptas Hospital,27,3.87,179
6,Myra Saini,"Medical Oncology, Radiation Oncology",6479357572,Auckland City occaecati Hospital,5,2.26,151
7,Anaya Bajwa,"Family Medicine, Internal Medicine",6430526027,Hutt cum Hospital,19,2.84,258
8,Nirvi Chauhan,"Neonatology, Pediatric Oncology",6458613830,Hutt excepturi Hospital,12,4.8,66
9,Khushi Deep,"Family Medicine, Internal Medicine",6484330307,Hutt nobis Hospital,26,4.99,236
10,Tarini Ramachandran,"Neonatology, Pediatric Oncology",6494135915,Hutt magni Hospital,15,2.88,103
11,Yuvraj  Deshmukh,"Trauma Care, Acute Medicine",6409034494,Auckland City labore Hospital,3,1.87,132
12,Divyansh Bobal,"Interventional Cardiology, Cardiac Electrophysiology",6476901673,Auckland City veritatis Hospital,20,2.3,128
13,Divit Dey,"Child and Adolescent Psychiatry, Addiction Psychiatry",6430797992,Auckland City quis Hospital,19,2.51,127
14,Abram Kaul,"Orthopedic Surgery, Plastic Surgery",6408028283,Auckland City reprehenderit Hospital,19,2.71,51
15,Zaina Maharaj,"Diagnostic Radiology, Interventional Radiology",6423642638,Auckland City doloremque Hospital,27,2.07,241
16,Badal Lalla,"Diagnostic Radiology, Interventional Radiology",6419188911,Starship Children’s Health voluptas Hospital,27,3.62,289
17,Indrans Comar,"Family Medicine, Internal Medicine",6435764351,Kenepuru quia Hospital,14,3.29,185
18,Trisha Sampath,"Family Medicine, Internal Medicine",6470246755,Wellington Regional enim Hospital,9,3.46,204
19,Zaina Saini,"Joint Replacement, Sports Medicine",6459003350,Starship Children’s Health dolorem Hospital,10,4.52,284
20,Abram Rattan,"Joint Replacement, Sports Medicine",6495543825,Auckland City quia Hospital,23,4.38,123
21,Taran Rajagopalan,"Joint Replacement, Sports Medicine",6457649807,Wellington Regional maiores Hospital,9,4.26,71
22,Hazel Manda,"Orthopedic Surgery, Plastic Surgery",6434269393,Auckland City distinctio Hospital,6,2.48,175
23,Ivana Agrawal,"Hepatology, Gastrointestinal Surgery",6415450307,Wellington Regional unde Hospital,30,3.17,290
24,Bhavin Devan,"Hepatology, Gastrointestinal Surgery",6407754067,Auckland City enim Hospital,12,2.69,68
25,Drishya Gour,"Hepatology, Gastrointestinal Surgery",6443050078,Starship Children’s Health ea Hospital,11,3.24,271
26,Zoya Bir,"Medical Oncology, Radiation Oncology",6465237095,Kenepuru nostrum Hospital,21,4.66,56
27,Reyansh Kapur,"Pediatric Neurology, Neuro-oncology",6465346100,Waitakere doloremque Hospital,16,1.43,273
28,Shayak Subramaniam,"Neonatology, Pediatric Oncology",6447354036,Starship Children’s Health illo Hospital,9,3.57,272
29,Jiya Ratta,"Interventional Cardiology, Cardiac Electrophysiology",6492998682,Kenepuru ullam Hospital,26,3.57,210
30,Tanya Luthra,"Family Medicine, Internal Medicine",6419702375,Wellington Regional natus Hospital,1,3.45,173
31,Alisha Sawhney,"Neonatology, Pediatric Oncology",6448043103,Waitakere veniam Hospital,10,3.88,99
32,Vedika Malhotra,"Clinical Pharmacy, Pharmacology",6499612359,Hutt tempore Hospital,16,2.65,115
33,Hiran Bhattacharyya,"Diagnostic Radiology, Interventional Radiology",6436097212,Auckland City tenetur Hospital,15,2.23,61
34,Emir Grewal,"Hepatology, Gastrointestinal Surgery",6456849791,Wellington Regional neque Hospital,2,1.45,53
35,Vidur Lanka,"Diagnostic Radiology, Interventional Radiology",6468459751,Hutt modi Hospital,7,1.52,284
36,Dishani Kade,"Child and Adolescent Psychiatry, Addiction Psychiatry",6490719088,Starship Children’s Health harum Hospital,29,3.65,189
37,Nehmat Loke,"Diagnostic Radiology, Interventional Radiology",6417006517,Waitakere commodi Hospital,11,4.01,146
38,Anvi Dey,"Trauma Care, Acute Medicine",6495715351,Kenepuru at Hospital,27,1.91,276
39,Heer Varma,"Diagnostic Radiology, Interventional Radiology",6468500512,Kenepuru dolorem Hospital,27,3.14,293
40,Zeeshan Trivedi,"Trauma Care, Acute Medicine",6486858672,Waitakere reiciendis Hospital,21,1.9,167
41,Kimaya Dada,"Joint Replacement, Sports Medicine",6489513771,Waitakere sed Hospital,23,1.54,196
42,Shamik Sama,"Medical Oncology, Radiation Oncology",6443179843,Kenepuru dolores Hospital,20,4.34,233
43,Divij Borah,"Medical Oncology, Radiation Oncology",6416101961,Waitakere ipsa Hospital,6,3.35,163
44,Zain Balasubramanian,"Clinical Pharmacy, Pharmacology",6442032176,Starship Children’s Health sequi Hospital,26,1.53,194
45,Saksham Arora,"Orthopedic Surgery, Plastic Surgery",6450725393,Kenepuru dolorem Hospital,11,3.86,240
